pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
pool_2,10,2022 08 24,na_na_na_na,0_0_na,395,11 16 00,12 16 00,3,sacarosa,sacarosa,1,1,219,315,0,0,26,22,0.5,0.5
pool_2,10,2022 08 24,na_na_na_na,0_0_na,396,11 16 00,12 16 00,4,sacarosa,sacarosa,1,1,475,143,0,0,39,12,1,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,397,12 34 00,13 34 00,1,sacarosa,sacarosa,1,1,181,289,0,0,20,34,1,1
pool_2,10,2022 08 24,na_na_na_na,0_0_na,398,12 34 00,13 34 00,2,sacarosa,sacarosa,1,1,556,39,0,0,20,5,1,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,366,24,0,0,25,4,0.5,0
pool_2,10,2022 08 24,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,130,181,0,0,17,15,0,0.5
pool_2,11,2022 08 25,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,118,229,0,0,16,27,0.5,1
pool_2,11,2022 08 25,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,318,330,0,0,25,20,0.5,0.5
pool_2,11,2022 08 25,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,184,75,0,0,24,13,0.5,0.5
pool_2,11,2022 08 25,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,250,59,0,0,21,17,0.5,0
pool_2,11,2022 08 25,na_na_na_na,0_0_na,397,12 41 00,13 41 00,1,sacarosa,sacarosa,1,1,173,267,0,0,21,31,0.5,1
pool_2,11,2022 08 25,na_na_na_na,0_0_na,398,12 41 00,13 41 00,2,sacarosa,sacarosa,1,1,397,46,0,0,29,6,1,0.5
pool_2,11,2022 08 25,na_na_na_na,0_0_na,399,12 41 00,13 41 00,3,sacarosa,sacarosa,1,1,257,42,0,0,27,3,0.5,0.5
pool_2,11,2022 08 25,na_na_na_na,0_0_na,400,12 41 00,13 41 00,4,sacarosa,sacarosa,1,1,130,108,0,0,19,13,0.5,0.5
pool_2,12,2022 08 26,na_na_na_na,0_0_na,393,11 18 00,12 18 00,1,sacarosa,sacarosa,1,1,118,229,0,0,16,27,0.5,1
pool_2,12,2022 08 26,na_na_na_na,0_0_na,394,11 18 00,12 18 00,2,sacarosa,sacarosa,1,1,318,330,0,0,25,20,0.5,0.5
pool_2,12,2022 08 26,na_na_na_na,0_0_na,395,11 18 00,12 18 00,3,sacarosa,sacarosa,1,1,184,75,0,0,24,13,0.5,0.5
pool_2,12,2022 08 26,na_na_na_na,0_0_na,396,11 18 00,12 18 00,4,sacarosa,sacarosa,1,1,250,59,0,0,21,17,0.5,0
pool_2,12,2022 08 26,na_na_na_na,0_0_na,397,12 41 00,13 41 00,1,sacarosa,sacarosa,1,1,173,267,0,0,21,31,0.5,1
pool_2,12,2022 08 26,na_na_na_na,0_0_na,398,12 41 00,13 41 00,2,sacarosa,sacarosa,1,1,397,46,0,0,29,6,1,0.5
pool_2,12,2022 08 26,na_na_na_na,0_0_na,399,12 41 00,13 41 00,3,sacarosa,sacarosa,1,1,257,42,0,0,27,3,0.5,0.5
pool_2,12,2022 08 26,na_na_na_na,0_0_na,400,12 41 00,13 41 00,4,sacarosa,sacarosa,1,1,130,108,0,0,19,13,0.5,0.5
